"","dataset","provider","group","year","cntry","npts","clusterID","provider_col","npts_gp","npts_class","npts_cex","recent","X","Y","recs"
"175","National Mammal Atlas Project, online recording","Mammal Society",6,2016,"Scotland",2,"424","#ff7f00","[2,5)","[2,5)",14,0.3,-3.22285,56.590891,"(2 records)"
"176","National Mammal Atlas Project, online recording","Mammal Society",7,2016,"Scotland",3,"464","#ff7f00","[2,5)","[2,5)",14,0.3,-3.379094,56.409557,"(3 records)"
"177","National Mammal Atlas Project, online recording","Mammal Society",10,2016,"Scotland",1,"26","#ff7f00","[0,2)","1",7,0.3,-3.54109,56.40765,"(1 record)"
"178","National Mammal Atlas Project, online recording","Mammal Society",13,2016,"Scotland",2,"87","#ff7f00","[2,5)","[2,5)",14,0.3,-3.85195,56.133814,"(2 records)"
"179","National Mammal Atlas Project, online recording","Mammal Society",15,2016,"Scotland",1,"119","#ff7f00","[0,2)","1",7,0.3,-4.586048,57.468699,"(1 record)"
"180","National Mammal Atlas Project, online recording","Mammal Society",16,2016,"Scotland",2,"133","#ff7f00","[2,5)","[2,5)",14,0.3,-5.55960039044907,56.0435821172379,"(2 records)"
"181","National Mammal Atlas Project, online recording","Mammal Society",17,2016,"Scotland",3,"147","#ff7f00","[2,5)","[2,5)",14,0.3,-4.356261,56.484707,"(3 records)"
"182","National Mammal Atlas Project, online recording","Mammal Society",19,2016,"Scotland",4,"167","#ff7f00","[2,5)","[2,5)",14,0.3,-3.57258923498753,56.5886048024324,"(4 records)"
"183","National Mammal Atlas Project, online recording","Mammal Society",21,2016,"Scotland",1,"200","#ff7f00","[0,2)","1",7,0.3,-3.77900000000001,56.749,"(1 record)"
"184","National Mammal Atlas Project, online recording","Mammal Society",22,2016,"Scotland",3,"208","#ff7f00","[2,5)","[2,5)",14,0.3,-3.375854,56.319741,"(3 records)"
"185","National Mammal Atlas Project, online recording","Mammal Society",24,2021,"Scotland",2,"231","#ff7f00","[2,5)","[2,5)",14,1,-3.544731,56.497457,"(2 records)"
"186","National Mammal Atlas Project, online recording","Mammal Society",31,2021,"Scotland",3,"292","#ff7f00","[2,5)","[2,5)",14,1,-3.55445447054342,56.5782171471634,"(3 records)"
"187","National Mammal Atlas Project, online recording","Mammal Society",42,2016,"Scotland",3,"348","#ff7f00","[2,5)","[2,5)",14,0.3,-3.35519576238648,56.5907542157487,"(3 records)"
"188","National Mammal Atlas Project, online recording","Mammal Society",48,2016,"Scotland",1,"377","#ff7f00","[0,2)","1",7,0.3,-3.219957,56.501072,"(1 record)"
"189","National Mammal Atlas Project, online recording","Mammal Society",51,2016,"Scotland",1,"397","#ff7f00","[0,2)","1",7,0.3,-3.691132,56.136121,"(1 record)"
"190","National Mammal Atlas Project, online recording","Mammal Society",57,2016,"Scotland",2,"414","#ff7f00","[2,5)","[2,5)",14,0.3,-3.71415278470453,56.685113504437,"(2 records)"
"191","Mammal Mapper App Sighting Records","Mammal Society",53,2022,"Scotland",1,"408","#ff7f00","[0,2)","1",7,1,-3.062574,56.682207,"(1 record)"
"192","National Mammal Atlas Project, online recording","Mammal Society",63,2016,"Scotland",5,"441","#ff7f00","[5,50)","[5,50)",21,0.3,-4.026943,56.400659,"(5 records)"
"193","National Mammal Atlas Project, online recording","Mammal Society",74,2021,"Scotland",1,"479","#ff7f00","[0,2)","1",7,1,-4.674352,56.388382,"(1 record)"
"194","National Mammal Atlas Project, online recording","Mammal Society",76,2021,"Scotland",2,"487","#ff7f00","[2,5)","[2,5)",14,1,-4.012744,56.131298,"(2 records)"
"195","Mammal Mapper App Sighting Records","Mammal Society",5,2019,"Scotland",1,"383","#ff7f00","[0,2)","1",7,0.6,-4.5981,55.999614,"(1 record)"
"196","National Mammal Atlas Project, online recording","Mammal Society",1,2017,"Scotland",4,"11","#ff7f00","[2,5)","[2,5)",14,0.5,-3.379094,56.409557,"(4 records)"
"197","National Mammal Atlas Project, online recording","Mammal Society",3,2017,"Scotland",1,"275","#ff7f00","[0,2)","1",7,0.5,-3.873853,56.582784,"(1 record)"
"198","National Mammal Atlas Project, online recording","Mammal Society",5,2017,"Scotland",1,"381","#ff7f00","[0,2)","1",7,0.5,-3.865016,56.403201,"(1 record)"
"199","National Mammal Atlas Project, online recording","Mammal Society",9,2019,"Scotland",1,"525","#ff7f00","[0,2)","1",7,0.6,-3.873853,56.582784,"(1 record)"
"200","National Mammal Atlas Project, online recording","Mammal Society",13,2017,"Scotland",2,"88","#ff7f00","[2,5)","[2,5)",14,0.5,-3.83601101923764,56.3470535634427,"(2 records)"
"201","National Mammal Atlas Project, online recording","Mammal Society",16,2017,"Scotland",11,"134","#ff7f00","[5,50)","[5,50)",21,0.5,-3.55470806391011,56.5808916598794,"(11 records)"
"202","National Mammal Atlas Project, online recording","Mammal Society",25,2017,"Scotland",2,"237","#ff7f00","[2,5)","[2,5)",14,0.5,-4.036545,56.580225,"(2 records)"
"203","National Mammal Atlas Project, online recording","Mammal Society",41,2017,"Scotland",1,"343","#ff7f00","[0,2)","1",7,0.5,-4.3014,56.4724,"(1 record)"
"204","National Mammal Atlas Project, online recording","Mammal Society",16,2019,"Scotland",1,"136","#ff7f00","[0,2)","1",7,0.6,-4.30850000000001,56.4713,"(1 record)"
"205","National Mammal Atlas Project, online recording","Mammal Society",18,2019,"Scotland",2,"158","#ff7f00","[2,5)","[2,5)",14,0.6,-3.42374990892545,56.3958500036304,"(2 records)"
"206","National Mammal Atlas Project, online recording","Mammal Society",19,2019,"Scotland",2,"168","#ff7f00","[2,5)","[2,5)",14,0.6,-3.19059060812536,56.4121293220872,"(2 records)"
"207","National Mammal Atlas Project, online recording","Mammal Society",107,2017,"Scotland",1,"49","#ff7f00","[0,2)","1",7,0.5,-3.382353,56.499371,"(1 record)"
"208","National Mammal Atlas Project, online recording","Mammal Society",154,2017,"Scotland",2,"123","#ff7f00","[2,5)","[2,5)",14,0.5,-3.07982528676581,56.5927940683922,"(2 records)"
"209","National Mammal Atlas Project, online recording","Mammal Society",223,2017,"Scotland",3,"218","#ff7f00","[2,5)","[2,5)",14,0.5,-4.02073334094266,56.3692000075208,"(3 records)"
"210","National Mammal Atlas Project, online recording","Mammal Society",637,2017,"Scotland",1,"442","#ff7f00","[0,2)","1",7,0.5,-3.40700000000001,56.3418,"(1 record)"
"211","National Mammal Atlas Project, online recording","Mammal Society",786,2017,"Scotland",1,"493","#ff7f00","[0,2)","1",7,0.5,-3.055049,56.412737,"(1 record)"
"212","National Mammal Atlas Project, online recording","Mammal Society",981,2017,"Scotland",1,"539","#ff7f00","[0,2)","1",7,0.5,-3.1088,56.4466,"(1 record)"
"213","National Mammal Atlas Project, online recording","Mammal Society",1222,2017,"Scotland",2,"76","#ff7f00","[2,5)","[2,5)",14,0.5,-3.544731,56.497457,"(2 records)"
"214","National Mammal Atlas Project, online recording","Mammal Society",1273,2017,"Scotland",1,"81","#ff7f00","[0,2)","1",7,0.5,-3.354138,56.571426,"(1 record)"
"215","National Mammal Atlas Project, online recording","Mammal Society",1937,2017,"Scotland",1,"174","#ff7f00","[0,2)","1",7,0.5,-4.012744,56.131298,"(1 record)"
"216","National Mammal Atlas Project, online recording","Mammal Society",4092,2017,"Scotland",1,"341","#ff7f00","[0,2)","1",7,0.5,-3.552077,56.677068,"(1 record)"
"217","National Mammal Atlas Project, online recording","Mammal Society",4641,2017,"Scotland",2,"371","#ff7f00","[2,5)","[2,5)",14,0.5,-3.699064,56.315729,"(2 records)"
"218","National Mammal Atlas Project, online recording","Mammal Society",5009,2017,"Scotland",1,"392","#ff7f00","[0,2)","1",7,0.5,-4.24010000000001,56.2501,"(1 record)"
"219","Mammal Mapper App Sighting Records","Mammal Society",14,2020,"Scotland",2,"104","#ff7f00","[2,5)","[2,5)",14,0.7,-5.55673810236088,56.0476606982142,"(2 records)"
"220","Mammal Mapper App Sighting Records","Mammal Society",18,2020,"Scotland",2,"159","#ff7f00","[2,5)","[2,5)",14,0.7,-4.02198610313394,56.1287883448849,"(2 records)"
"221","National Mammal Atlas Project, online recording","Mammal Society",4,2021,"Scotland",1,"331","#ff7f00","[0,2)","1",7,1,-2.809689,56.42132,"(1 record)"
"222","National Mammal Atlas Project, online recording","Mammal Society",5,2021,"Scotland",1,"385","#ff7f00","[0,2)","1",7,1,-3.22285,56.590891,"(1 record)"
"223","National Mammal Atlas Project, online recording","Mammal Society",8,2021,"Scotland",1,"500","#ff7f00","[0,2)","1",7,1,-2.95620000000001,56.6153,"(1 record)"
"224","National Mammal Atlas Project, online recording","Mammal Society",16,2021,"Scotland",2,"138","#ff7f00","[2,5)","[2,5)",14,1,-3.26506899236592,56.648194500741,"(2 records)"
"225","National Mammal Atlas Project, online recording","Mammal Society",58,2018,"Scotland",2,"417","#ff7f00","[2,5)","[2,5)",14,0.5,-3.46550000157943,56.4547000014469,"(2 records)"
"226","National Mammal Atlas Project, online recording","Mammal Society",62,2018,"Scotland",1,"436","#ff7f00","[0,2)","1",7,0.5,-3.6466,56.6151,"(1 record)"
"227","National Mammal Atlas Project, online recording","Mammal Society",35,2021,"Scotland",3,"310","#ff7f00","[2,5)","[2,5)",14,1,-3.994188,55.772128,"(3 records)"
"228","National Mammal Atlas Project, online recording","Mammal Society",51,2021,"Scotland",4,"398","#ff7f00","[2,5)","[2,5)",14,1,-4.35559469858237,56.2221655185719,"(4 records)"
"229","National Mammal Atlas Project, online recording","Mammal Society",58,2021,"Scotland",2,"419","#ff7f00","[2,5)","[2,5)",14,1,-3.699064,56.315729,"(2 records)"
"230","National Mammal Atlas Project, online recording","Mammal Society",61,2021,"Scotland",2,"431","#ff7f00","[2,5)","[2,5)",14,1,-4.668076,56.298638,"(2 records)"
"231","National Mammal Atlas Project, online recording","Mammal Society",66,2021,"Scotland",1,"448","#ff7f00","[0,2)","1",7,1,-3.4701,56.45793,"(1 record)"
"232","National Mammal Atlas Project, online recording","Mammal Society",69,2021,"Scotland",3,"455","#ff7f00","[2,5)","[2,5)",14,1,-3.85195,56.133814,"(3 records)"
"233","Mammal Mapper App Sighting Records","Mammal Society",70,2022,"Scotland",1,"468","#ff7f00","[0,2)","1",7,1,-3.281284,56.392636,"(1 record)"
"234","Mammal Mapper App Sighting Records","Mammal Society",1,2019,"Scotland",1,"13","#ff7f00","[0,2)","1",7,0.6,-4.0449,56.13077,"(1 record)"
"235","National Mammal Atlas Project, online recording","Mammal Society",119,2021,"Scotland",5,"67","#ff7f00","[5,50)","[5,50)",21,1,-3.379094,56.409557,"(5 records)"
"236","National Mammal Atlas Project, online recording","Mammal Society",131,2021,"Scotland",5,"94","#ff7f00","[5,50)","[5,50)",21,1,-3.382353,56.499371,"(5 records)"
"237","National Mammal Atlas Project, online recording","Mammal Society",136,2021,"Scotland",1,"99","#ff7f00","[0,2)","1",7,1,-3.715205,56.674927,"(1 record)"
"238","National Mammal Atlas Project, online recording","Mammal Society",148,2021,"Scotland",1,"114","#ff7f00","[0,2)","1",7,1,-4.02529999999999,56.3687,"(1 record)"
"239","National Mammal Atlas Project, online recording","Mammal Society",163,2021,"Scotland",1,"144","#ff7f00","[0,2)","1",7,1,-2.897238,56.593666,"(1 record)"
"240","National Mammal Atlas Project, online recording","Mammal Society",179,2021,"Scotland",5,"153","#ff7f00","[5,50)","[5,50)",21,1,-3.52417754503777,56.4239934385786,"(5 records)"
"241","National Mammal Atlas Project, online recording","Mammal Society",203,2021,"Scotland",7,"194","#ff7f00","[5,50)","[5,50)",21,1,-3.33990212914803,56.5892201649981,"(7 records)"
"242","National Mammal Atlas Project, online recording","Mammal Society",253,2021,"Scotland",1,"242","#ff7f00","[0,2)","1",7,1,-3.055049,56.412737,"(1 record)"
"243","National Mammal Atlas Project, online recording","Mammal Society",431,2021,"Scotland",1,"356","#ff7f00","[0,2)","1",7,1,-4.30302129999999,56.4721294,"(1 record)"
"244","National Mammal Atlas Project, online recording","Mammal Society",1405,2021,"Scotland",1,"108","#ff7f00","[0,2)","1",7,1,-3.865016,56.403201,"(1 record)"
"245","National Mammal Atlas Project, online recording","Mammal Society",2207,2021,"Scotland",1,"214","#ff7f00","[0,2)","1",7,1,-4.178592,56.218353,"(1 record)"
"246","National Mammal Atlas Project, online recording","Mammal Society",2768,2021,"Scotland",1,"258","#ff7f00","[0,2)","1",7,1,-3.398024,56.693223,"(1 record)"
"247","National Mammal Atlas Project, online recording","Mammal Society",5012,2021,"Scotland",1,"394","#ff7f00","[0,2)","1",7,1,-3.873853,56.582784,"(1 record)"
"248","National Mammal Atlas Project, online recording","Mammal Society",5159,2021,"Scotland",1,"402","#ff7f00","[0,2)","1",7,1,-3.711135,56.58513,"(1 record)"
"249","National Mammal Atlas Project, online recording","Mammal Society",9,2018,"Scotland",1,"524","#ff7f00","[0,2)","1",7,0.5,-3.40490000000001,56.3501,"(1 record)"
"250","National Mammal Atlas Project, online recording","Mammal Society",10,2018,"Scotland",4,"27","#ff7f00","[2,5)","[2,5)",14,0.5,-3.54323276745429,56.3326206338167,"(4 records)"
"251","National Mammal Atlas Project, online recording","Mammal Society",12,2018,"Scotland",1,"70","#ff7f00","[0,2)","1",7,0.5,-3.544731,56.497457,"(1 record)"
"252","National Mammal Atlas Project, online recording","Mammal Society",14,2018,"Scotland",2,"103","#ff7f00","[2,5)","[2,5)",14,0.5,-3.699064,56.315729,"(2 records)"
"253","National Mammal Atlas Project, online recording","Mammal Society",18,2018,"Scotland",3,"157","#ff7f00","[2,5)","[2,5)",14,0.5,-4.13620636692442,56.7007224911393,"(3 records)"
"254","National Mammal Atlas Project, online recording","Mammal Society",20,2018,"Scotland",2,"191","#ff7f00","[2,5)","[2,5)",14,0.5,-2.91539269574368,56.4298065170285,"(2 records)"
"255","National Mammal Atlas Project, online recording","Mammal Society",693,2020,"Scotland",1,"459","#ff7f00","[0,2)","1",7,0.7,-3.715205,56.674927,"(1 record)"
"256","National Mammal Atlas Project, online recording","Mammal Society",701,2020,"Scotland",1,"470","#ff7f00","[0,2)","1",7,0.7,-3.620728,56.567158,"(1 record)"
"257","National Mammal Atlas Project, online recording","Mammal Society",759,2020,"Scotland",3,"485","#ff7f00","[2,5)","[2,5)",14,0.7,-3.703065,56.405531,"(3 records)"
"258","National Mammal Atlas Project, online recording","Mammal Society",1058,2020,"Scotland",1,"46","#ff7f00","[0,2)","1",7,0.7,-3.707088,56.495331,"(1 record)"
"259","National Mammal Atlas Project, online recording","Mammal Society",1356,2020,"Scotland",1,"98","#ff7f00","[0,2)","1",7,0.7,-4.178592,56.218353,"(1 record)"
"260","National Mammal Atlas Project, online recording","Mammal Society",2111,2020,"Scotland",2,"205","#ff7f00","[2,5)","[2,5)",14,0.7,-4.318068,55.856321,"(2 records)"
"261","National Mammal Atlas Project, online recording","Mammal Society",2990,2020,"Scotland",1,"270","#ff7f00","[0,2)","1",7,0.7,-4.674352,56.388382,"(1 record)"
"262","National Mammal Atlas Project, online recording","Mammal Society",4281,2020,"Scotland",1,"352","#ff7f00","[0,2)","1",7,0.7,-4.252894,57.475094,"(1 record)"
"263","National Mammal Atlas Project, online recording","Mammal Society",5903,2020,"Scotland",1,"422","#ff7f00","[0,2)","1",7,0.7,-4.745841,57.375449,"(1 record)"
"264","National Mammal Atlas Project, online recording","Mammal Society",57,2018,"Scotland",1,"415","#ff7f00","[0,2)","1",7,0.5,-3.975438,56.133383,"(1 record)"
"265","Mammal Mapper App Sighting Records","Mammal Society",14,2023,"Scotland",1,"105","#ff7f00","[0,2)","1",7,1,-4.004009,56.580754,"(1 record)"
"266","Mammal Mapper App Sighting Records","Mammal Society",23,2023,"Scotland",1,"223","#ff7f00","[0,2)","1",7,1,-4.211852,56.235736,"(1 record)"
"267","Mammal Mapper App Sighting Records","Mammal Society",19,2022,"Scotland",1,"169","#ff7f00","[0,2)","1",7,1,-3.972407,56.599231,"(1 record)"
"268","Mammal Mapper App Sighting Records","Mammal Society",28,2022,"Scotland",3,"261","#ff7f00","[2,5)","[2,5)",14,1,-3.88648952724453,56.6185357174223,"(3 records)"
"269","Mammal Mapper App Sighting Records","Mammal Society",37,2022,"Scotland",24,"318","#ff7f00","[5,50)","[5,50)",21,1,-3.28643842776006,56.5453255003722,"(24 records)"
"270","Mammal Mapper App Sighting Records","Mammal Society",45,2022,"Scotland",1,"363","#ff7f00","[0,2)","1",7,1,-3.994188,55.772128,"(1 record)"
"271","Mammal Mapper App Sighting Records","Mammal Society",47,2022,"Scotland",1,"375","#ff7f00","[0,2)","1",7,1,-3.85195,56.133814,"(1 record)"
"272","National Mammal Atlas Project, online recording","Mammal Society",11,2023,"Scotland",1,"58","#ff7f00","[0,2)","1",7,1,-2.814658,56.430047,"(1 record)"
"273","National Mammal Atlas Project, online recording","Mammal Society",12,2023,"Scotland",1,"73","#ff7f00","[0,2)","1",7,1,-4.200253,56.595408,"(1 record)"
"274","National Mammal Atlas Project, online recording","Mammal Society",13,2023,"Scotland",1,"90","#ff7f00","[0,2)","1",7,1,-4.323814,56.485319,"(1 record)"
"275","Mammal Mapper App Sighting Records","Mammal Society",85,2022,"Scotland",2,"513","#ff7f00","[2,5)","[2,5)",14,1,-3.41083027036542,56.3912295479335,"(2 records)"
"276","Mammal Mapper App Sighting Records","Mammal Society",106,2022,"Scotland",1,"48","#ff7f00","[0,2)","1",7,1,-3.746996,56.656515,"(1 record)"
"277","National Mammal Atlas Project, online recording","Mammal Society",1,2019,"Scotland",1,"13","#ff7f00","[0,2)","1",7,0.6,-4.012744,56.131298,"(1 record)"
"278","National Mammal Atlas Project, online recording","Mammal Society",4,2019,"Scotland",2,"329","#ff7f00","[2,5)","[2,5)",14,0.6,-3.44571506255124,56.4672107842362,"(2 records)"
"279","National Mammal Atlas Project, online recording","Mammal Society",6,2019,"Scotland",1,"425","#ff7f00","[0,2)","1",7,0.6,-4.48916,56.032736,"(1 record)"
"280","Mammal Mapper App Sighting Records","Mammal Society",4,2021,"Scotland",1,"331","#ff7f00","[0,2)","1",7,1,-2.730947,56.41507,"(1 record)"
"281","Mammal Mapper App Sighting Records","Mammal Society",8,2018,"Scotland",1,"498","#ff7f00","[0,2)","1",7,0.5,-3.576097,56.562341,"(1 record)"
"282","Mammal Mapper App Sighting Records","Mammal Society",9,2018,"Scotland",1,"524","#ff7f00","[0,2)","1",7,0.5,-3.461269,56.361039,"(1 record)"
"283","National Mammal Atlas Project, online recording","Mammal Society",1,2018,"Scotland",1,"12","#ff7f00","[0,2)","1",7,0.5,-3.060051,56.592385,"(1 record)"
"284","National Mammal Atlas Project, online recording","Mammal Society",2,2018,"Scotland",4,"184","#ff7f00","[2,5)","[2,5)",14,0.5,-5.55896718302791,56.0547029478684,"(4 records)"
"285","National Mammal Atlas Project, online recording","Mammal Society",3,2018,"Scotland",1,"276","#ff7f00","[0,2)","1",7,0.5,-3.382353,56.499371,"(1 record)"
"286","National Mammal Atlas Project, online recording","Mammal Society",4,2018,"Scotland",1,"328","#ff7f00","[0,2)","1",7,0.5,-3.055049,56.412737,"(1 record)"
"287","National Mammal Atlas Project, online recording","Mammal Society",5,2018,"Scotland",2,"382","#ff7f00","[2,5)","[2,5)",14,0.5,-3.85259972808246,56.6331982092253,"(2 records)"
"288","National Mammal Atlas Project, online recording","Mammal Society",8,2018,"Scotland",2,"498","#ff7f00","[2,5)","[2,5)",14,0.5,-3.56694106585448,56.5760152292549,"(2 records)"
"289","National Mammal Atlas Project, online recording","Mammal Society",27,2019,"Scotland",3,"253","#ff7f00","[2,5)","[2,5)",14,0.6,-4.01085389281423,56.5969756495198,"(3 records)"
"290","National Mammal Atlas Project, online recording","Mammal Society",31,2019,"Scotland",1,"290","#ff7f00","[0,2)","1",7,0.6,-2.905702,56.607081,"(1 record)"
"291","National Mammal Atlas Project, online recording","Mammal Society",39,2019,"Scotland",1,"322","#ff7f00","[0,2)","1",7,0.6,-2.9532,56.4339,"(1 record)"
"292","National Mammal Atlas Project, online recording","Mammal Society",46,2019,"Scotland",2,"368","#ff7f00","[2,5)","[2,5)",14,0.6,-2.98224924876562,56.6085521451395,"(2 records)"
"293","National Mammal Atlas Project, online recording","Mammal Society",50,2019,"Scotland",3,"389","#ff7f00","[2,5)","[2,5)",14,0.6,-4.02297991282874,56.3797530314553,"(3 records)"
"294","National Mammal Atlas Project, online recording","Mammal Society",52,2019,"Scotland",1,"406","#ff7f00","[0,2)","1",7,0.6,-3.860636,56.313407,"(1 record)"
"295","National Mammal Atlas Project, online recording","Mammal Society",24,2018,"Scotland",1,"229","#ff7f00","[0,2)","1",7,0.5,-3.967754,56.608426,"(1 record)"
"296","National Mammal Atlas Project, online recording","Mammal Society",25,2018,"Scotland",2,"238","#ff7f00","[2,5)","[2,5)",14,0.5,-3.379094,56.409557,"(2 records)"
"297","National Mammal Atlas Project, online recording","Mammal Society",26,2018,"Scotland",3,"247","#ff7f00","[2,5)","[2,5)",14,0.5,-3.54109,56.40765,"(3 records)"
"298","National Mammal Atlas Project, online recording","Mammal Society",37,2018,"Scotland",1,"317","#ff7f00","[0,2)","1",7,0.5,-2.897238,56.593666,"(1 record)"
"299","National Mammal Atlas Project, online recording","Mammal Society",40,2018,"Scotland",1,"335","#ff7f00","[0,2)","1",7,0.5,-2.899374,56.683493,"(1 record)"
"300","National Mammal Atlas Project, online recording","Mammal Society",50,2018,"Scotland",3,"388","#ff7f00","[2,5)","[2,5)",14,0.5,-3.36440563113326,56.5894183070969,"(3 records)"
"301","National Mammal Atlas Project, online recording","Mammal Society",52,2018,"Scotland",2,"405","#ff7f00","[2,5)","[2,5)",14,0.5,-4.02326995970608,56.3846795542336,"(2 records)"
"302","National Mammal Atlas Project, online recording","Mammal Society",54,2018,"Scotland",1,"410","#ff7f00","[0,2)","1",7,0.5,-3.062574,56.682207,"(1 record)"
"303","National Mammal Atlas Project, online recording","Mammal Society",56,2018,"Scotland",1,"413","#ff7f00","[0,2)","1",7,0.5,-3.865016,56.403201,"(1 record)"
"304","Mammal Mapper App Sighting Records","Mammal Society",11,2023,"Scotland",1,"58","#ff7f00","[0,2)","1",7,1,-2.828573,56.432425,"(1 record)"
"305","Mammal Mapper App Sighting Records","Mammal Society",9,2022,"Scotland",1,"526","#ff7f00","[0,2)","1",7,1,-3.581694,56.604814,"(1 record)"
"306","Mammal Mapper App Sighting Records","Mammal Society",10,2022,"Scotland",22,"30","#ff7f00","[5,50)","[5,50)",21,1,-3.34447592559293,56.347041500402,"(22 records)"
"307","National Mammal Atlas Project, online recording","Mammal Society",3,2023,"Scotland",2,"280","#ff7f00","[2,5)","[2,5)",14,1,-3.88455081690144,56.142307564347,"(2 records)"
"308","National Mammal Atlas Project, online recording","Mammal Society",4,2023,"Scotland",1,"332","#ff7f00","[0,2)","1",7,1,-4.108619,56.70483,"(1 record)"
"309","National Mammal Atlas Project, online recording","Mammal Society",6,2023,"Scotland",1,"427","#ff7f00","[0,2)","1",7,1,-3.875632,56.6187,"(1 record)"
"310","National Mammal Atlas Project, online recording","Mammal Society",7,2023,"Scotland",1,"466","#ff7f00","[0,2)","1",7,1,-3.32454999999999,56.59231,"(1 record)"
"311","National Mammal Atlas Project, online recording","Mammal Society",9,2023,"Scotland",1,"527","#ff7f00","[0,2)","1",7,1,-3.762042,56.278905,"(1 record)"
"312","Mammal Mapper App Sighting Records","Mammal Society",66,2021,"Scotland",1,"448","#ff7f00","[0,2)","1",7,1,-3.456693,56.448968,"(1 record)"
"313","Mammal Mapper App Sighting Records","Mammal Society",76,2021,"Scotland",1,"487","#ff7f00","[0,2)","1",7,1,-4.012744,56.131298,"(1 record)"
"314","Mammal Mapper App Sighting Records","Mammal Society",89,2021,"Scotland",3,"519","#ff7f00","[2,5)","[2,5)",14,1,-2.895115,56.503838,"(3 records)"
"315","National Mammal Atlas Project, online recording","Mammal Society",15,2023,"Scotland",2,"121","#ff7f00","[2,5)","[2,5)",14,1,-3.73260068011158,56.3422213168556,"(2 records)"
"316","National Mammal Atlas Project, online recording","Mammal Society",21,2023,"Scotland",1,"202","#ff7f00","[0,2)","1",7,1,-3.74866,56.692433,"(1 record)"
"317","National Mammal Atlas Project, online recording","Mammal Society",24,2023,"Scotland",1,"233","#ff7f00","[0,2)","1",7,1,-3.681732,55.920583,"(1 record)"
"318","National Mammal Atlas Project, online recording","Mammal Society",1,2022,"Scotland",2,"15","#ff7f00","[2,5)","[2,5)",14,1,-3.29191158875738,56.5865986692423,"(2 records)"
"319","National Mammal Atlas Project, online recording","Mammal Society",2,2022,"Scotland",4,"188","#ff7f00","[2,5)","[2,5)",14,1,-3.57871441888977,56.5789449567646,"(4 records)"
"320","National Mammal Atlas Project, online recording","Mammal Society",3,2022,"Scotland",1,"279","#ff7f00","[0,2)","1",7,1,-5.54913999999999,56.06127,"(1 record)"
"321","National Mammal Atlas Project, online recording","Mammal Society",10,2019,"Scotland",4,"28","#ff7f00","[2,5)","[2,5)",14,0.6,-5.56080014590994,56.0531750470733,"(4 records)"
"322","National Mammal Atlas Project, online recording","Mammal Society",11,2019,"Scotland",5,"57","#ff7f00","[5,50)","[5,50)",21,0.6,-3.2678498436526,56.6463410095945,"(5 records)"
"323","National Mammal Atlas Project, online recording","Mammal Society",13,2019,"Scotland",3,"89","#ff7f00","[2,5)","[2,5)",14,0.6,-3.562910668236,56.5569979505034,"(3 records)"
"324","National Mammal Atlas Project, online recording","Mammal Society",15,2019,"Scotland",2,"120","#ff7f00","[2,5)","[2,5)",14,0.6,-3.703065,56.405531,"(2 records)"
"325","Mammal Mapper App Sighting Records","Mammal Society",1405,2021,"Scotland",1,"108","#ff7f00","[0,2)","1",7,1,-3.910756,56.392665,"(1 record)"
"326","Mammal Mapper App Sighting Records","Mammal Society",1415,2021,"Scotland",2,"110","#ff7f00","[2,5)","[2,5)",14,1,-4.188842,56.397907,"(2 records)"
"327","Mammal Mapper App Sighting Records","Mammal Society",3507,2021,"Scotland",2,"313","#ff7f00","[2,5)","[2,5)",14,1,-2.86079629939435,56.423221173164,"(2 records)"
"328","National Mammal Atlas Project, online recording","Mammal Society",21,2019,"Scotland",4,"201","#ff7f00","[2,5)","[2,5)",14,0.6,-3.72582665041219,56.686798452156,"(4 records)"
"329","Mammal Mapper App Sighting Records","Mammal Society",119,2021,"Scotland",2,"67","#ff7f00","[2,5)","[2,5)",14,1,-3.41501400844201,56.3751881820555,"(2 records)"
"330","Mammal Mapper App Sighting Records","Mammal Society",131,2021,"Scotland",3,"94","#ff7f00","[2,5)","[2,5)",14,1,-3.382353,56.499371,"(3 records)"
"331","Mammal Mapper App Sighting Records","Mammal Society",136,2021,"Scotland",1,"99","#ff7f00","[0,2)","1",7,1,-3.715205,56.674927,"(1 record)"
"332","Mammal Mapper App Sighting Records","Mammal Society",179,2021,"Scotland",2,"153","#ff7f00","[2,5)","[2,5)",14,1,-3.4806975012177,56.4195720009362,"(2 records)"
"333","Mammal Mapper App Sighting Records","Mammal Society",203,2021,"Scotland",1,"194","#ff7f00","[0,2)","1",7,1,-3.385631,56.589183,"(1 record)"
"334","Mammal Mapper App Sighting Records","Mammal Society",253,2021,"Scotland",1,"242","#ff7f00","[0,2)","1",7,1,-3.10847,56.446727,"(1 record)"
"335","National Mammal Atlas Project, online recording","Mammal Society",57,2019,"Scotland",1,"416","#ff7f00","[0,2)","1",7,0.6,-4.512548,56.391768,"(1 record)"
"336","National Mammal Atlas Project, online recording","Mammal Society",58,2019,"Scotland",2,"418","#ff7f00","[2,5)","[2,5)",14,0.6,-3.878309,56.672574,"(2 records)"
"337","Mammal Mapper App Sighting Records","Mammal Society",1254,2021,"Scotland",1,"79","#ff7f00","[0,2)","1",7,1,-4.173511,56.128573,"(1 record)"
"338","Mammal Mapper App Sighting Records","Mammal Society",35,2021,"Scotland",2,"310","#ff7f00","[2,5)","[2,5)",14,1,-3.994188,55.772128,"(2 records)"
